property_name,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft (₹),price (₹ Lac),floor_cleaned
1 BHK  House for Sale in Sayan Surat,Carpet Area,432.0,New Property,Ready to Move,Unfurnished,East,2315.0,10.0,1
3 BHK Apartment for Sale in Jahangirabad Surat,Super Area,1600.0,Resale,Ready to Move,Unfurnished,East,1875.0,30.0,9
1 BHK Apartment for Sale in Katargam Surat,Carpet Area,450.0,Resale,Ready to Move,Unfurnished,East,4700.0,18.0,5
1 BHK Apartment for Sale in Palanpur Surat,Carpet Area,441.0,Resale,Ready to Move,Unfurnished,South,3509.0,23.5,3
2 BHK Apartment for Sale in Aarav Apartment Surat,Super Area,850.0,Resale,Ready to Move,Semi-Furnished,Main Road,2941.0,25.0,3
  Office Space for Sale in Shahpore Surat,Super Area,70.0,Resale,Ready to Move,Unfurnished,East,3320.0,25.0,5
2 BHK Apartment for Sale in Vatsalya Avenue Surat,Carpet Area,1230.0,Resale,Ready to Move,Semi-Furnished,East,4700.0,30.0,9
  Office Space for Sale in Vijayalaxmi Hills Surat,Carpet Area,460.0,Resale,Ready to Move,Unfurnished,East,6803.0,40.0,3
  Office Space for Sale in Mahalaxmi Market udhna Surat,Super Area,393.0,Resale,Ready to Move,Unfurnished,East,5089.0,20.0,1
2 BHK Apartment for Sale in Kamrej Road Surat,Carpet Area,783.0,Resale,Ready to Move,Unfurnished,East,4700.0,50.0,5
1 BHK Apartment for Sale in Ram Pura Surat,Carpet Area,605.0,Resale,Ready to Move,Unfurnished,East,2686.0,16.3,2
2 BHK Apartment for Sale in Varachha Surat,Super Area,1300.0,Resale,Ready to Move,Furnished,East,3462.0,45.0,4
4 BHK Penthouse for Sale in Mandvi Surat,Carpet Area,1300.0,Resale,Ready to Move,Furnished,East,4700.0,45.0,2
  Shop for Sale in Surat City Surat,Super Area,100.0,Resale,Ready to Move,Unfurnished,East,20000.0,20.0,2
  Shop for Sale in Dindoli Surat,Carpet Area,150.0,Resale,Ready to Move,Unfurnished,East,9000.0,13.5,1
  Shop for Sale in Pipodara Surat,Carpet Area,430.0,Resale,Ready to Move,Unfurnished,East,10465.0,45.0,4
4 BHK Apartment for Sale in Bhatar Surat,Super Area,1370.0,Resale,Ready to Move,Unfurnished,East,3212.0,44.0,3
  Plot/Land for Sale in Bhestan Surat,Plot Area,1040.0,Resale,Ready to Move,Unfurnished,East,4712.0,49.0,5
